Data/Ora;Valore;
06/05/2019 09:50:38;  16,699;
06/05/2019 09:56:11;  16,193;
06/05/2019 14:38:57;  17,210;
07/05/2019 06:22:57;  16,686;
07/05/2019 16:08:07;  17,330;
08/05/2019 09:40:57;  16,823;
08/05/2019 13:43:57;  17,335;
08/05/2019 15:28:59;  17,843;
08/05/2019 16:41:58;  18,345;
09/05/2019 02:42:57;  17,836;
09/05/2019 03:53:57;  17,329;
09/05/2019 05:29:57;  16,825;
09/05/2019 09:31:57;  16,316;
09/05/2019 12:02:58;  16,829;
09/05/2019 16:23:09;  17,341;
10/05/2019 06:47:09;  16,839;
10/05/2019 12:43:10;  17,348;
10/05/2019 16:21:09;  17,853;
11/05/2019 06:19:09;  17,311;
11/05/2019 14:23:09;  17,816;
12/05/2019 08:08:09;  17,307;
12/05/2019 14:23:10;  17,811;
13/05/2019 03:01:10;  17,297;
13/05/2019 11:41:45;  17,807;
13/05/2019 17:58:03;  18,312;
14/05/2019 09:25:02;  17,724;
14/05/2019 13:41:03;  18,236;
14/05/2019 17:52:03;  18,833;
15/05/2019 02:05:03;  18,330;
15/05/2019 07:51:03;  17,827;
15/05/2019 14:45:03;  18,360;
16/05/2019 03:24:30;  17,859;
16/05/2019 14:34:30;  18,362;
16/05/2019 14:38:30;  18,914;
16/05/2019 14:41:30;  18,394;
16/05/2019 17:37:30;  19,111;
16/05/2019 17:43:30;  18,598;
17/05/2019 07:44:30;  18,082;
17/05/2019 11:32:06;  18,614;
17/05/2019 11:35:06;  18,087;
17/05/2019 13:53:44;  18,610;
17/05/2019 14:31:44;  19,281;
17/05/2019 14:33:44;  18,707;
17/05/2019 21:52:44;  19,215;
17/05/2019 22:29:44;  19,730;
17/05/2019 23:06:44;  20,242;
17/05/2019 23:47:44;  20,746;
18/05/2019 00:44:44;  21,249;
18/05/2019 05:28:44;  20,702;
18/05/2019 07:00:44;  20,195;
18/05/2019 08:29:44;  19,693;
18/05/2019 11:23:44;  19,186;
18/05/2019 14:24:44;  19,689;
18/05/2019 20:54:44;  19,178;
19/05/2019 07:54:44;  18,669;
20/05/2019 14:08:45;  19,220;
20/05/2019 17:08:44;  19,962;
20/05/2019 17:11:45;  19,387;
21/05/2019 01:32:44;  18,886;
21/05/2019 17:00:45;  20,262;
21/05/2019 17:02:44;  19,390;
21/05/2019 17:05:44;  18,865;
21/05/2019 19:59:44;  19,625;
21/05/2019 20:01:44;  19,124;
21/05/2019 22:22:44;  18,621;
22/05/2019 04:41:44;  18,121;
22/05/2019 06:47:44;  17,620;
22/05/2019 13:53:44;  18,230;
22/05/2019 16:54:05;  18,947;
22/05/2019 16:56:05;  18,343;
23/05/2019 00:39:05;  17,828;
23/05/2019 07:45:07;  17,311;
23/05/2019 10:48:05;  18,017;
23/05/2019 10:51:05;  17,448;
23/05/2019 13:47:05;  18,625;
23/05/2019 13:50:07;  17,942;
23/05/2019 16:46:05;  18,971;
23/05/2019 16:49:05;  18,233;
24/05/2019 01:50:07;  17,733;
24/05/2019 10:41:06;  18,376;
24/05/2019 10:43:05;  17,784;
24/05/2019 13:40:06;  19,144;
24/05/2019 13:42:06;  18,510;
24/05/2019 14:17:07;  18,128;
24/05/2019 16:38:07;  18,542;
24/05/2019 16:39:08;  19,496;
24/05/2019 16:41:09;  18,785;
24/05/2019 17:05:10;  18,408;
24/05/2019 19:38:08;  19,150;
24/05/2019 19:40:07;  18,691;
24/05/2019 22:41:06;  18,321;
25/05/2019 04:39:10;  17,926;
25/05/2019 10:33:09;  18,518;
25/05/2019 10:35:10;  18,148;
25/05/2019 10:38:07;  17,742;
25/05/2019 13:32:11;  18,581;
25/05/2019 13:33:08;  19,254;
25/05/2019 13:34:07;  18,810;
25/05/2019 13:36:07;  18,259;
25/05/2019 16:31:07;  18,632;
25/05/2019 16:32:09;  19,324;
25/05/2019 16:33:07;  18,938;
25/05/2019 16:35:09;  18,502;
25/05/2019 19:31:07;  18,893;
25/05/2019 19:33:07;  18,426;
25/05/2019 22:35:07;  18,042;
26/05/2019 04:20:08;  17,665;
26/05/2019 04:29:11;  18,109;
26/05/2019 04:35:07;  17,722;
26/05/2019 10:26:10;  18,175;
26/05/2019 10:30:07;  17,650;
26/05/2019 13:25:07;  18,137;
26/05/2019 13:26:10;  18,573;
26/05/2019 13:28:07;  18,020;
26/05/2019 13:32:10;  17,626;
26/05/2019 15:22:10;  17,999;
26/05/2019 16:24:06;  18,670;
26/05/2019 16:25:07;  19,217;
26/05/2019 16:27:10;  18,537;
26/05/2019 16:30:09;  18,140;
26/05/2019 19:24:08;  18,878;
26/05/2019 19:26:09;  18,344;
26/05/2019 20:47:08;  17,973;
26/05/2019 23:51:11;  18,346;
27/05/2019 01:22:07;  18,928;
27/05/2019 01:28:10;  18,557;
27/05/2019 07:25:07;  18,151;
27/05/2019 10:19:10;  18,939;
27/05/2019 10:21:10;  18,447;
27/05/2019 10:23:07;  18,072;
27/05/2019 13:18:07;  18,821;
27/05/2019 13:22:09;  18,399;
27/05/2019 14:14:07;  18,788;
27/05/2019 14:42:08;  19,174;
27/05/2019 15:11:10;  19,547;
27/05/2019 15:52:06;  19,925;
27/05/2019 16:17:10;  20,462;
27/05/2019 16:21:10;  20,084;
27/05/2019 18:31:07;  20,531;
27/05/2019 18:34:06;  20,094;
27/05/2019 19:14:10;  19,702;
27/05/2019 22:20:07;  19,321;
28/05/2019 01:18:08;  18,927;
28/05/2019 05:22:07;  18,556;
28/05/2019 10:29:07;  18,184;
28/05/2019 12:38:06;  18,567;
28/05/2019 13:11:07;  19,452;
28/05/2019 13:13:08;  18,973;
28/05/2019 16:10:10;  19,506;
28/05/2019 16:12:09;  19,127;
28/05/2019 17:13:07;  18,756;
28/05/2019 21:30:09;  18,385;
29/05/2019 03:47:10;  18,007;
29/05/2019 07:30:08;  17,628;
29/05/2019 11:00:06;  18,196;
29/05/2019 11:10:06;  17,782;
29/05/2019 14:01:06;  18,929;
29/05/2019 14:04:06;  18,210;
29/05/2019 17:00:07;  18,708;
29/05/2019 17:03:06;  18,268;
29/05/2019 18:37:06;  17,897;
29/05/2019 20:00:06;  18,366;
29/05/2019 20:03:06;  17,936;
30/05/2019 01:46:06;  17,563;
30/05/2019 08:05:06;  17,183;
30/05/2019 18:39:17;  18,238;
30/05/2019 19:52:06;  18,858;
30/05/2019 19:55:06;  18,377;
30/05/2019 22:05:07;  17,999;
31/05/2019 04:20:07;  17,614;
31/05/2019 07:49:06;  18,178;
31/05/2019 07:51:07;  17,712;
31/05/2019 10:48:06;  18,438;
31/05/2019 10:50:06;  17,901;
31/05/2019 10:53:06;  17,512;
31/05/2019 11:41:17;  17,947;
31/05/2019 11:56:06;  18,375;
31/05/2019 12:22:06;  18,775;
31/05/2019 12:26:06;  18,322;
31/05/2019 12:44:07;  18,693;
31/05/2019 12:46:06;  18,188;
31/05/2019 12:59:06;  17,750;
31/05/2019 13:44:06;  18,298;
31/05/2019 13:45:08;  17,773;
31/05/2019 13:47:08;  18,796;
31/05/2019 13:49:07;  18,187;
31/05/2019 13:52:06;  17,785;
31/05/2019 14:57:06;  18,161;
31/05/2019 15:49:06;  27,118;
31/05/2019 16:45:26;  27,512;
31/05/2019 16:46:26;  28,973;
31/05/2019 16:47:26;  28,322;
31/05/2019 16:48:26;  27,751;
31/05/2019 16:50:27;  27,337;
31/05/2019 19:35:27;  26,965;
31/05/2019 19:45:26;  28,630;
31/05/2019 19:46:26;  28,041;
31/05/2019 19:47:26;  27,517;
31/05/2019 19:49:26;  27,145;
31/05/2019 22:44:26;  27,591;
31/05/2019 22:46:26;  27,138;
01/06/2019 01:43:26;  27,676;
01/06/2019 01:45:26;  27,255;
01/06/2019 04:34:27;  26,881;
01/06/2019 04:42:26;  27,411;
01/06/2019 04:45:27;  26,949;
01/06/2019 07:42:26;  27,743;
01/06/2019 07:45:27;  27,202;
01/06/2019 08:17:27;  26,827;
01/06/2019 10:40:26;  27,820;
01/06/2019 10:43:27;  27,133;
01/06/2019 10:45:28;  26,731;
01/06/2019 13:38:26;  27,148;
01/06/2019 13:39:26;  27,979;
01/06/2019 13:40:26;  28,562;
01/06/2019 13:41:26;  27,951;
01/06/2019 13:42:26;  27,528;
01/06/2019 13:45:26;  27,133;
01/06/2019 16:38:27;  28,185;
01/06/2019 16:39:27;  29,439;
01/06/2019 16:40:27;  28,365;
01/06/2019 16:41:27;  27,731;
01/06/2019 16:43:27;  27,284;
01/06/2019 19:38:26;  28,569;
01/06/2019 19:39:27;  28,135;
01/06/2019 19:40:27;  27,479;
01/06/2019 19:45:27;  27,108;
01/06/2019 22:37:27;  27,485;
01/06/2019 22:39:26;  27,051;
01/06/2019 23:43:26;  26,672;
02/06/2019 01:36:27;  27,683;
02/06/2019 01:38:26;  27,270;
02/06/2019 01:40:26;  26,888;
02/06/2019 03:30:28;  26,512;
02/06/2019 04:33:27;  27,105;
02/06/2019 04:34:26;  26,697;
02/06/2019 04:35:27;  27,633;
02/06/2019 04:36:27;  27,174;
02/06/2019 04:38:26;  26,645;
02/06/2019 05:11:27;  26,260;
02/06/2019 07:25:27;  26,643;
02/06/2019 07:34:28;  27,876;
02/06/2019 07:36:27;  26,983;
02/06/2019 07:37:26;  26,593;
02/06/2019 07:49:27;  27,129;
02/06/2019 07:54:27;  26,662;
02/06/2019 07:58:27;  26,268;
02/06/2019 10:33:26;  28,264;
02/06/2019 10:35:27;  27,070;
02/06/2019 10:36:27;  26,599;
02/06/2019 10:39:28;  26,165;
02/06/2019 13:31:27;  26,548;
02/06/2019 13:32:26;  28,099;
02/06/2019 13:34:27;  27,104;
02/06/2019 13:35:26;  26,671;
02/06/2019 15:55:26;  27,051;
02/06/2019 16:31:27;  29,220;
02/06/2019 16:33:26;  28,076;
02/06/2019 16:34:27;  27,536;
02/06/2019 16:36:26;  27,110;
02/06/2019 19:30:26;  28,182;
02/06/2019 19:31:27;  29,542;
02/06/2019 19:32:25;  28,476;
02/06/2019 19:33:26;  27,632;
02/06/2019 19:35:26;  27,157;
02/06/2019 21:32:26;  26,772;
02/06/2019 22:29:26;  27,178;
02/06/2019 22:30:27;  27,819;
02/06/2019 22:31:27;  27,431;
02/06/2019 22:32:26;  26,972;
03/06/2019 01:29:26;  28,006;
03/06/2019 01:31:26;  27,243;
03/06/2019 01:33:26;  26,849;
03/06/2019 04:06:26;  26,471;
03/06/2019 04:28:26;  27,389;
03/06/2019 04:31:26;  26,944;
03/06/2019 04:36:26;  26,520;
03/06/2019 04:51:27;  26,941;
03/06/2019 05:03:26;  26,466;
03/06/2019 06:15:27;  26,881;
03/06/2019 06:27:26;  26,504;
03/06/2019 07:27:26;  27,960;
03/06/2019 07:29:26;  27,170;
03/06/2019 07:30:26;  26,760;
03/06/2019 07:39:26;  27,165;
03/06/2019 07:46:27;  26,612;
03/06/2019 08:04:28;  26,236;
03/06/2019 10:26:26;  28,924;
03/06/2019 10:27:28;  28,053;
03/06/2019 10:28:26;  27,274;
03/06/2019 10:29:26;  26,727;
03/06/2019 10:31:26;  26,341;
03/06/2019 12:21:28;  26,711;
03/06/2019 13:23:26;  27,094;
03/06/2019 13:25:27;  28,886;
03/06/2019 13:27:26;  27,798;
03/06/2019 13:29:26;  27,197;
03/06/2019 15:47:27;  27,569;
03/06/2019 16:24:26;  29,844;
03/06/2019 16:25:26;  30,314;
03/06/2019 16:26:26;  29,129;
03/06/2019 16:27:29;  28,380;
03/06/2019 16:29:27;  27,854;
03/06/2019 19:23:26;  28,942;
03/06/2019 19:24:27;  29,838;
03/06/2019 19:25:27;  28,766;
03/06/2019 19:26:26;  28,230;
03/06/2019 19:28:27;  27,812;
03/06/2019 22:22:27;  28,257;
03/06/2019 22:23:27;  28,869;
03/06/2019 22:24:27;  28,408;
03/06/2019 22:25:27;  27,987;
03/06/2019 22:31:27;  27,607;
04/06/2019 01:07:26;  27,992;
04/06/2019 01:21:26;  28,432;
04/06/2019 01:22:27;  29,864;
04/06/2019 01:23:26;  29,328;
04/06/2019 01:24:26;  28,643;
04/06/2019 01:25:26;  28,252;
04/06/2019 01:32:26;  27,876;
04/06/2019 04:21:26;  28,830;
04/06/2019 04:23:26;  28,047;
04/06/2019 04:27:26;  27,620;
04/06/2019 04:33:26;  28,074;
04/06/2019 04:46:26;  27,695;
04/06/2019 06:25:26;  28,187;
04/06/2019 06:34:27;  27,813;
04/06/2019 07:20:27;  28,891;
04/06/2019 07:22:26;  28,256;
04/06/2019 07:25:26;  27,841;
04/06/2019 09:07:26;  28,273;
