Data/Ora;Valore;
06/05/2019 10:34:33;   0,000;
07/05/2019 08:09:30;   0,000;
07/05/2019 16:08:30;   0,000;
20/05/2019 14:59:00;   0,000;
20/05/2019 15:00:01;   0,000;
21/05/2019 00:01:30;   0,000;
21/05/2019 00:02:00;   0,000;
21/05/2019 07:57:30;   0,000;
21/05/2019 15:55:00;   0,000;
21/05/2019 15:55:00;   0,000;
21/05/2019 15:55:00;   0,000;
21/05/2019 15:55:00;   0,000;
24/05/2019 12:03:04;   0,500;
24/05/2019 14:38:04;   0,050;
25/05/2019 14:22:04;   0,302;
25/05/2019 15:22:04;   0,050;
26/05/2019 15:22:04;   0,306;
26/05/2019 17:22:06;   0,050;
26/05/2019 17:22:06;   0,050;
26/05/2019 17:22:06;   0,050;
27/05/2019 12:22:03;   0,305;
27/05/2019 14:22:03;   1,016;
27/05/2019 15:22:04;   1,082;
27/05/2019 16:22:03;   0,050;
28/05/2019 12:22:06;   0,496;
28/05/2019 13:22:06;   0,450;
28/05/2019 13:22:06;   0,450;
28/05/2019 13:22:06;   0,450;
28/05/2019 15:22:03;   0,315;
28/05/2019 16:22:03;   0,050;
28/05/2019 16:22:03;   0,050;
28/05/2019 16:22:03;   0,050;
29/05/2019 13:22:04;   0,491;
29/05/2019 14:22:05;   0,413;
29/05/2019 15:22:03;   0,491;
29/05/2019 16:22:05;   0,050;
29/05/2019 16:22:05;   0,050;
30/05/2019 18:39:17;   0,406;
30/05/2019 18:39:17;   0,406;
30/05/2019 19:22:06;   0,050;
31/05/2019 15:22:06;   1,872;
31/05/2019 16:22:26;   1,996;
31/05/2019 17:22:26;   0,773;
31/05/2019 18:22:26;   0,050;
01/06/2019 15:22:26;   0,391;
01/06/2019 16:22:26;   0,050;
02/06/2019 15:22:26;   0,757;
02/06/2019 16:22:27;   0,050;
02/06/2019 17:22:28;   0,333;
02/06/2019 18:22:26;   0,050;
03/06/2019 12:29:26;   0,504;
03/06/2019 13:22:27;   0,653;
03/06/2019 16:22:26;   1,029;
03/06/2019 17:22:26;   0,568;
03/06/2019 18:22:26;   0,341;
03/06/2019 19:22:27;   0,305;
03/06/2019 20:22:26;   0,050;
04/06/2019 12:22:26;   1,075;
04/06/2019 13:22:26;   1,218;
04/06/2019 14:22:28;   0,800;
04/06/2019 15:22:26;   0,676;
