Data/Ora;Valore;
06/05/2019 09:50:38;   1,750;
06/05/2019 10:43:08;   2,506;
06/05/2019 10:58:57;   3,009;
06/05/2019 11:13:58;   3,515;
06/05/2019 12:21:57;   4,023;
06/05/2019 12:39:57;   4,550;
06/05/2019 12:54:58;   5,163;
06/05/2019 13:04:58;   5,671;
06/05/2019 13:26:57;   6,177;
06/05/2019 13:58:57;   6,691;
06/05/2019 14:37:57;   7,197;
06/05/2019 15:07:57;   7,701;
06/05/2019 16:29:58;   8,201;
06/05/2019 18:59:59;   7,681;
06/05/2019 19:16:59;   7,176;
06/05/2019 21:11:57;   6,663;
06/05/2019 21:34:58;   6,129;
07/05/2019 01:33:58;   5,618;
07/05/2019 01:50:58;   5,107;
07/05/2019 02:14:57;   4,596;
07/05/2019 03:58:57;   4,093;
07/05/2019 04:26:57;   3,568;
07/05/2019 04:54:57;   3,059;
07/05/2019 07:10:57;   2,555;
07/05/2019 16:08:07;   9,016;
07/05/2019 19:54:57;   8,514;
07/05/2019 21:34:57;   7,996;
07/05/2019 21:51:57;   7,486;
08/05/2019 01:32:57;   6,986;
08/05/2019 04:35:57;   6,434;
08/05/2019 04:56:57;   5,848;
08/05/2019 05:00:57;   6,430;
08/05/2019 05:17:58;   5,916;
08/05/2019 07:27:58;   5,353;
08/05/2019 10:48:57;   5,861;
08/05/2019 11:05:57;   6,392;
08/05/2019 11:23:57;   6,900;
08/05/2019 11:41:57;   7,402;
08/05/2019 12:03:58;   7,910;
08/05/2019 12:32:57;   8,420;
08/05/2019 12:57:57;   8,922;
08/05/2019 13:32:57;   9,434;
08/05/2019 14:07:57;   9,939;
08/05/2019 16:08:57;   9,417;
08/05/2019 16:37:57;   8,914;
08/05/2019 17:18:58;   8,412;
08/05/2019 18:11:58;   7,906;
09/05/2019 01:48:57;   7,403;
09/05/2019 02:37:57;   6,889;
09/05/2019 02:54:57;   6,377;
09/05/2019 03:42:57;   5,865;
09/05/2019 04:02:57;   5,346;
09/05/2019 04:58:58;   4,840;
09/05/2019 07:39:57;   4,339;
09/05/2019 11:16:57;   4,842;
09/05/2019 11:42:57;   5,354;
09/05/2019 12:01:57;   5,876;
09/05/2019 12:22:57;   6,377;
09/05/2019 12:53:58;   6,888;
09/05/2019 13:12:57;   7,397;
09/05/2019 15:07:59;   7,898;
09/05/2019 16:10:58;   8,410;
09/05/2019 18:34:09;   7,910;
09/05/2019 19:11:09;   7,408;
09/05/2019 19:28:09;   6,883;
09/05/2019 19:55:09;   6,382;
09/05/2019 20:31:10;   5,872;
09/05/2019 21:45:09;   5,358;
09/05/2019 22:36:10;   4,856;
10/05/2019 00:39:10;   5,359;
10/05/2019 01:10:10;   4,849;
10/05/2019 01:38:09;   4,348;
10/05/2019 03:15:10;   3,821;
10/05/2019 04:48:09;   3,307;
10/05/2019 05:47:09;   2,800;
10/05/2019 07:33:10;   2,283;
10/05/2019 10:41:10;   2,795;
10/05/2019 10:57:09;   3,315;
10/05/2019 11:16:11;   3,828;
10/05/2019 11:32:10;   4,349;
10/05/2019 11:47:10;   4,859;
10/05/2019 12:07:09;   5,368;
10/05/2019 13:07:10;   5,886;
10/05/2019 13:30:09;   6,397;
10/05/2019 13:59:09;   6,898;
10/05/2019 14:38:09;   7,409;
10/05/2019 16:04:09;   7,909;
10/05/2019 17:52:10;   7,407;
10/05/2019 19:09:10;   6,885;
10/05/2019 19:28:10;   6,372;
10/05/2019 20:52:09;   5,860;
11/05/2019 00:34:10;   5,338;
11/05/2019 01:14:10;   4,831;
11/05/2019 02:23:10;   4,313;
11/05/2019 02:42:09;   3,773;
11/05/2019 03:01:09;   3,271;
11/05/2019 04:13:10;   2,752;
11/05/2019 04:41:09;   2,251;
11/05/2019 05:47:09;   2,759;
11/05/2019 05:59:09;   2,257;
11/05/2019 09:21:10;   1,756;
11/05/2019 11:13:09;   2,268;
11/05/2019 11:33:10;   2,784;
11/05/2019 11:49:10;   3,296;
11/05/2019 12:06:09;   3,813;
11/05/2019 12:24:10;   4,327;
11/05/2019 12:46:09;   4,862;
11/05/2019 13:10:10;   5,382;
11/05/2019 14:30:10;   5,898;
11/05/2019 14:59:10;   6,405;
11/05/2019 15:31:11;   6,916;
11/05/2019 18:15:10;   6,412;
11/05/2019 18:38:09;   5,896;
11/05/2019 19:03:09;   4,810;
11/05/2019 19:07:12;   5,406;
11/05/2019 20:18:09;   4,903;
11/05/2019 20:41:09;   4,398;
11/05/2019 21:16:09;   3,887;
12/05/2019 03:02:10;   3,385;
12/05/2019 05:48:09;   2,874;
12/05/2019 08:34:10;   2,370;
12/05/2019 11:48:10;   2,889;
12/05/2019 12:02:09;   3,414;
12/05/2019 12:25:10;   3,924;
12/05/2019 13:05:10;   4,437;
12/05/2019 13:26:10;   4,947;
12/05/2019 13:41:09;   5,451;
12/05/2019 14:00:10;   5,968;
12/05/2019 14:24:10;   6,477;
12/05/2019 14:45:10;   6,983;
12/05/2019 15:08:10;   7,485;
12/05/2019 15:28:10;   8,000;
12/05/2019 15:49:10;   8,509;
12/05/2019 18:37:11;   7,999;
12/05/2019 19:08:10;   7,490;
12/05/2019 20:18:10;   6,978;
12/05/2019 20:31:08;   6,475;
12/05/2019 20:54:10;   5,960;
12/05/2019 22:20:10;   5,424;
12/05/2019 22:45:10;   4,918;
13/05/2019 00:12:10;   4,417;
13/05/2019 01:57:11;   3,907;
13/05/2019 02:38:10;   3,397;
13/05/2019 03:46:11;   2,893;
13/05/2019 06:39:10;   2,393;
13/05/2019 10:50:03;   2,906;
13/05/2019 11:04:03;   2,384;
13/05/2019 11:07:05;   2,968;
13/05/2019 11:26:55;   3,557;
13/05/2019 12:26:45;   4,067;
13/05/2019 12:43:45;   4,582;
13/05/2019 13:01:45;   5,107;
13/05/2019 13:19:45;   5,621;
13/05/2019 13:33:30;   6,139;
13/05/2019 13:52:30;   6,659;
