Data/Ora;Valore;
06/05/2019 09:50:38;   1,038;
07/05/2019 07:00:57;   0,000;
07/05/2019 07:40:57;   0,586;
09/05/2019 00:29:10;   0,000;
09/05/2019 00:42:57;   0,628;
09/05/2019 15:00:57;   0,000;
09/05/2019 15:40:57;   0,509;
17/05/2019 23:41:45;   1,073;
21/05/2019 06:41:44;   0,568;
24/05/2019 14:32:08;   0,681;
24/05/2019 15:51:10;   0,722;
24/05/2019 16:41:09;   0,746;
24/05/2019 17:41:09;   0,759;
24/05/2019 20:41:08;   0,792;
24/05/2019 23:51:08;   0,827;
25/05/2019 00:41:07;   0,864;
25/05/2019 04:41:10;   0,849;
25/05/2019 05:41:07;   0,878;
25/05/2019 06:41:10;   0,832;
25/05/2019 07:41:08;   0,807;
25/05/2019 08:41:06;   0,768;
25/05/2019 09:41:09;   0,752;
25/05/2019 10:41:07;   0,738;
25/05/2019 11:41:08;   0,816;
25/05/2019 12:41:09;   0,960;
25/05/2019 13:41:10;   0,976;
25/05/2019 14:41:10;   1,022;
25/05/2019 16:41:09;   1,005;
25/05/2019 17:41:08;   1,047;
25/05/2019 18:41:10;   1,015;
25/05/2019 19:41:07;   0,991;
25/05/2019 21:41:07;   0,948;
25/05/2019 23:41:11;   0,934;
26/05/2019 01:41:10;   0,915;
26/05/2019 02:41:09;   0,931;
26/05/2019 03:41:07;   0,907;
26/05/2019 04:41:11;   0,887;
26/05/2019 06:41:10;   0,865;
26/05/2019 08:41:09;   0,837;
26/05/2019 10:41:07;   0,818;
26/05/2019 11:41:07;   0,800;
26/05/2019 12:41:08;   0,787;
26/05/2019 15:41:07;   0,814;
26/05/2019 18:41:08;   0,796;
26/05/2019 20:41:07;   0,687;
26/05/2019 21:41:10;   0,749;
26/05/2019 23:41:07;   0,731;
27/05/2019 01:41:09;   0,718;
27/05/2019 03:41:07;   0,694;
27/05/2019 05:41:08;   0,674;
27/05/2019 06:41:08;   0,656;
27/05/2019 08:41:07;   0,628;
27/05/2019 09:41:06;   0,608;
27/05/2019 11:41:08;   0,628;
27/05/2019 12:41:09;   0,657;
27/05/2019 13:41:06;   0,682;
27/05/2019 14:41:07;   0,729;
27/05/2019 17:41:08;   0,670;
27/05/2019 18:41:10;   0,656;
27/05/2019 19:41:06;   0,646;
27/05/2019 22:41:06;   0,628;
27/05/2019 23:41:09;   0,612;
28/05/2019 01:41:10;   0,598;
28/05/2019 02:41:06;   0,587;
28/05/2019 03:41:08;   0,576;
28/05/2019 04:41:08;   0,566;
28/05/2019 06:41:08;   0,546;
28/05/2019 07:41:08;   0,536;
28/05/2019 08:41:10;   0,518;
28/05/2019 09:41:10;   0,493;
28/05/2019 11:41:10;   0,512;
28/05/2019 12:41:09;   0,533;
28/05/2019 13:41:07;   0,549;
28/05/2019 15:41:07;   0,577;
28/05/2019 17:41:09;   0,566;
28/05/2019 21:41:09;   0,551;
29/05/2019 04:41:06;   0,539;
29/05/2019 06:41:06;   0,521;
29/05/2019 08:41:07;   0,496;
29/05/2019 09:41:08;   0,482;
29/05/2019 10:57:18;   0,050;
29/05/2019 11:43:09;   0,501;
29/05/2019 13:41:06;   0,557;
29/05/2019 14:41:06;   0,573;
29/05/2019 15:41:06;   0,593;
29/05/2019 16:41:08;   0,608;
29/05/2019 17:41:06;   0,626;
29/05/2019 19:41:06;   0,612;
29/05/2019 21:41:06;   0,598;
29/05/2019 22:41:06;   0,577;
29/05/2019 23:41:06;   0,588;
30/05/2019 00:41:08;   0,569;
30/05/2019 03:41:06;   0,556;
30/05/2019 04:41:08;   0,540;
30/05/2019 06:41:06;   0,525;
30/05/2019 07:51:06;   0,497;
30/05/2019 09:41:08;   0,476;
30/05/2019 18:39:17;   0,606;
31/05/2019 01:41:06;   0,625;
31/05/2019 02:41:07;   0,607;
31/05/2019 05:41:07;   0,593;
31/05/2019 07:41:06;   0,577;
31/05/2019 09:41:06;   0,552;
31/05/2019 11:41:17;   0,586;
31/05/2019 12:41:06;   0,563;
31/05/2019 13:41:06;   0,657;
31/05/2019 14:41:07;   0,691;
31/05/2019 15:41:06;   0,714;
31/05/2019 16:41:26;   0,727;
31/05/2019 17:41:26;   0,707;
31/05/2019 18:41:27;   0,670;
31/05/2019 19:41:26;   0,646;
31/05/2019 20:41:26;   0,634;
01/06/2019 00:41:27;   0,709;
01/06/2019 01:41:26;   0,943;
01/06/2019 02:41:27;   1,098;
01/06/2019 03:41:26;   1,068;
01/06/2019 04:41:27;   1,026;
01/06/2019 05:41:26;   0,956;
01/06/2019 06:41:27;   0,919;
01/06/2019 07:41:27;   0,858;
01/06/2019 08:41:26;   0,821;
01/06/2019 09:41:26;   0,770;
01/06/2019 11:41:27;   0,752;
01/06/2019 13:41:26;   0,780;
01/06/2019 15:41:27;   0,817;
01/06/2019 16:41:27;   0,806;
01/06/2019 17:41:26;   0,790;
01/06/2019 18:41:26;   0,775;
01/06/2019 19:41:27;   0,762;
01/06/2019 20:41:26;   0,734;
01/06/2019 21:41:27;   0,717;
01/06/2019 23:41:26;   0,698;
02/06/2019 02:41:26;   0,664;
02/06/2019 04:41:26;   0,647;
02/06/2019 05:41:26;   0,635;
02/06/2019 06:41:26;   0,621;
02/06/2019 07:41:27;   0,605;
02/06/2019 08:41:26;   0,591;
02/06/2019 09:41:26;   0,567;
02/06/2019 10:41:28;   0,551;
02/06/2019 13:41:27;   0,572;
02/06/2019 14:41:27;   0,598;
02/06/2019 15:41:26;   0,628;
02/06/2019 17:41:28;   0,651;
02/06/2019 18:41:26;   0,641;
02/06/2019 19:41:27;   0,623;
02/06/2019 21:41:26;   0,597;
03/06/2019 01:41:26;   0,580;
03/06/2019 05:41:27;   0,552;
03/06/2019 06:41:27;   0,539;
03/06/2019 07:41:28;   0,527;
03/06/2019 08:41:26;   0,506;
03/06/2019 09:41:26;   0,490;
03/06/2019 11:41:27;   0,512;
03/06/2019 12:41:26;   0,544;
03/06/2019 13:41:26;   0,567;
03/06/2019 15:41:26;   0,606;
03/06/2019 16:41:26;   0,618;
03/06/2019 17:41:27;   0,606;
03/06/2019 18:41:26;   0,594;
03/06/2019 20:41:26;   0,604;
04/06/2019 01:41:26;   0,589;
04/06/2019 04:41:26;   0,571;
04/06/2019 06:41:26;   0,553;
04/06/2019 07:41:28;   0,532;
04/06/2019 08:41:27;   0,511;
04/06/2019 09:41:26;   0,498;
04/06/2019 11:41:26;   0,510;
04/06/2019 12:41:26;   0,536;
04/06/2019 13:41:26;   0,558;
04/06/2019 14:41:26;   0,572;
04/06/2019 23:07:38;   0,050;
04/06/2019 23:43:27;   0,561;
05/06/2019 02:41:26;   0,547;
05/06/2019 04:41:26;   0,527;
05/06/2019 06:41:26;   0,503;
05/06/2019 07:41:27;   0,487;
05/06/2019 08:41:26;   0,468;
05/06/2019 09:41:26;   0,445;
05/06/2019 11:41:26;   0,471;
05/06/2019 12:41:26;   0,497;
05/06/2019 13:41:27;   0,531;
05/06/2019 13:41:27;   0,531;
05/06/2019 15:41:27;   0,558;
05/06/2019 16:41:26;   0,541;
06/06/2019 00:41:27;   0,554;
06/06/2019 09:13:36;   0,469;
06/06/2019 09:41:26;   0,445;
06/06/2019 11:41:27;   0,482;
06/06/2019 12:41:26;   0,505;
06/06/2019 13:41:29;   0,538;
06/06/2019 14:41:26;   0,566;
06/06/2019 18:41:26;   0,555;
06/06/2019 21:41:26;   0,576;
06/06/2019 23:41:26;   0,589;
07/06/2019 02:41:26;   0,574;
07/06/2019 04:41:26;   0,556;
07/06/2019 06:41:26;   0,527;
07/06/2019 07:41:26;   0,505;
07/06/2019 08:41:27;   0,471;
07/06/2019 09:41:26;   0,449;
07/06/2019 11:41:35;   0,467;
07/06/2019 12:41:36;   0,496;
07/06/2019 13:42:04;   0,522;
07/06/2019 15:42:04;   0,552;
07/06/2019 19:42:05;   0,569;
07/06/2019 20:42:04;   0,586;
07/06/2019 23:42:04;   0,610;
08/06/2019 00:42:04;   0,624;
08/06/2019 07:42:05;   0,613;
08/06/2019 08:42:04;   0,596;
08/06/2019 09:42:04;   0,574;
08/06/2019 10:42:04;   0,562;
08/06/2019 12:42:04;   0,586;
08/06/2019 13:42:04;   0,673;
08/06/2019 14:42:04;   0,744;
08/06/2019 15:42:04;   0,759;
08/06/2019 17:42:04;   0,775;
08/06/2019 19:42:04;   0,750;
09/06/2019 02:42:04;   0,737;
09/06/2019 05:42:04;   0,722;
09/06/2019 06:42:04;   0,709;
09/06/2019 07:42:05;   0,696;
09/06/2019 09:42:04;   0,673;
09/06/2019 11:42:04;   0,650;
09/06/2019 13:42:04;   0,696;
09/06/2019 15:42:05;   0,777;
09/06/2019 16:42:04;   0,789;
09/06/2019 21:42:04;   0,776;
10/06/2019 01:42:04;   0,765;
10/06/2019 06:42:04;   0,742;
