Data/Ora;Valore;
06/05/2019 08:32:10;  68,487;
06/05/2019 08:33:10;  68,234;
06/05/2019 08:34:10;  68,392;
06/05/2019 08:35:10;  68,691;
06/05/2019 08:36:12;  92,881;
06/05/2019 08:37:11;  90,560;
06/05/2019 08:38:10;  88,257;
06/05/2019 08:39:10;  86,143;
06/05/2019 08:40:10;  83,671;
06/05/2019 08:41:11;  26,295;
06/05/2019 08:43:12;  26,047;
06/05/2019 08:44:10;  25,935;
06/05/2019 08:45:11;  25,151;
06/05/2019 08:47:10;  25,598;
06/05/2019 08:49:10;  25,190;
06/05/2019 08:50:10;   5,238;
06/05/2019 08:51:10;  74,808;
06/05/2019 08:52:10;  75,326;
06/05/2019 08:53:12;  75,696;
06/05/2019 08:54:10;  76,019;
06/05/2019 08:55:11;  74,935;
06/05/2019 08:56:10;  37,296;
06/05/2019 09:04:11;   2,498;
06/05/2019 09:21:02;  46,893;
06/05/2019 09:21:47;  48,002;
06/05/2019 09:22:14;  48,780;
06/05/2019 09:22:53;  49,369;
06/05/2019 09:23:54;  50,356;
06/05/2019 09:24:54;  51,228;
06/05/2019 09:25:54;  51,919;
06/05/2019 09:26:53;  53,102;
06/05/2019 09:27:53;  53,711;
06/05/2019 09:28:53;  54,735;
06/05/2019 09:29:54;  54,955;
06/05/2019 09:30:54;  56,130;
06/05/2019 09:31:53;  57,125;
06/05/2019 09:32:53;  58,473;
06/05/2019 09:33:52;  59,413;
06/05/2019 09:34:54;  60,802;
06/05/2019 09:35:54;  60,635;
06/05/2019 09:36:54;  61,330;
06/05/2019 09:37:54;  61,775;
06/05/2019 09:38:54;  62,712;
06/05/2019 09:39:54;  63,330;
06/05/2019 09:40:54;  63,556;
06/05/2019 09:41:54;  63,936;
06/05/2019 09:45:54;  64,689;
06/05/2019 09:50:38;  62,712;
06/05/2019 09:55:22;  71,089;
06/05/2019 09:56:11;  71,267;
06/05/2019 09:57:11;  73,165;
06/05/2019 09:58:11;  74,103;
06/05/2019 09:59:11;  75,632;
06/05/2019 10:00:12;  76,790;
06/05/2019 10:01:12;  78,175;
06/05/2019 10:02:11;  78,724;
06/05/2019 10:03:11;  79,469;
06/05/2019 10:04:13;  79,601;
06/05/2019 10:06:11;  80,012;
06/05/2019 10:07:11;  80,509;
06/05/2019 10:08:10;  81,539;
06/05/2019 10:09:11;  82,293;
06/05/2019 10:10:11;  83,765;
06/05/2019 10:11:11;  84,389;
06/05/2019 10:34:33;  62,712;
06/05/2019 10:43:08;  74,617;
06/05/2019 10:43:58;  14,142;
06/05/2019 10:44:58;  14,626;
06/05/2019 10:48:58;  18,743;
06/05/2019 10:50:57;  24,707;
06/05/2019 11:40:58;  83,509;
06/05/2019 11:41:58;  83,846;
06/05/2019 11:43:59;  85,105;
06/05/2019 11:44:57;  86,821;
06/05/2019 11:45:58;  89,076;
06/05/2019 11:46:57;  91,075;
06/05/2019 11:47:57;  92,881;
06/05/2019 11:48:57;  94,366;
06/05/2019 11:49:58;  93,763;
06/05/2019 11:50:57;  18,577;
06/05/2019 11:51:58;  18,918;
06/05/2019 11:52:58;  19,408;
06/05/2019 11:53:58;  20,039;
06/05/2019 11:54:57;  20,691;
06/05/2019 12:01:57;  32,216;
06/05/2019 12:02:57;  33,019;
06/05/2019 12:03:57;  33,685;
06/05/2019 12:04:57;  33,972;
06/05/2019 12:05:58;  34,498;
06/05/2019 12:06:57;  34,652;
06/05/2019 12:07:57;  35,220;
06/05/2019 12:08:57;  36,248;
06/05/2019 12:09:59;  37,330;
06/05/2019 12:10:58;  38,197;
06/05/2019 12:21:57; 109,435;
06/05/2019 12:22:57; 107,808;
06/05/2019 12:23:57; 106,998;
06/05/2019 12:24:58; 106,530;
06/05/2019 12:25:57; 105,214;
06/05/2019 12:26:57; 105,739;
06/05/2019 12:27:57;  47,889;
06/05/2019 12:28:57;  47,698;
06/05/2019 12:29:57;  47,066;
06/05/2019 12:30:58;  46,706;
06/05/2019 12:31:57;  46,564;
06/05/2019 12:32:58;  47,633;
06/05/2019 12:33:58;  48,041;
06/05/2019 12:34:57;  47,829;
06/05/2019 12:35:57;  48,376;
06/05/2019 12:36:57;  49,496;
06/05/2019 12:37:58;  50,419;
06/05/2019 12:38:57;  52,256;
06/05/2019 12:39:57;  52,981;
06/05/2019 12:40:57;  53,613;
06/05/2019 12:42:58; 104,729;
06/05/2019 12:43:58; 105,042;
06/05/2019 12:44:58; 106,855;
06/05/2019 12:45:57; 108,337;
06/05/2019 13:14:58;  40,318;
06/05/2019 13:27:59;  30,223;
06/05/2019 13:28:58;  74,278;
06/05/2019 13:29:58;  73,539;
06/05/2019 13:30:57;  74,297;
06/05/2019 13:35:57;  51,264;
06/05/2019 13:49:58;  36,293;
06/05/2019 13:52:57;  16,057;
06/05/2019 13:53:58;  16,500;
06/05/2019 13:54:58;  96,169;
06/05/2019 13:55:58;  93,784;
06/05/2019 13:56:58;  90,692;
06/05/2019 13:57:57;  88,437;
06/05/2019 13:58:57;  87,139;
06/05/2019 13:59:59;  86,978;
06/05/2019 14:00:57;  86,516;
06/05/2019 14:01:58;  87,140;
06/05/2019 14:02:57;  86,409;
06/05/2019 14:03:57;  85,279;
06/05/2019 14:04:57;  84,370;
06/05/2019 14:05:58;  26,982;
06/05/2019 14:07:58;  27,284;
06/05/2019 14:08:57;  27,481;
06/05/2019 14:09:58;  27,792;
06/05/2019 14:10:57;  28,042;
06/05/2019 14:11:57;  43,372;
06/05/2019 14:12:59;  43,990;
06/05/2019 14:15:59;  51,870;
06/05/2019 14:16:59;  52,038;
06/05/2019 14:17:57;  52,719;
06/05/2019 14:18:57;  53,523;
06/05/2019 14:19:57;  54,173;
06/05/2019 14:20:58;  55,136;
06/05/2019 14:23:58;  54,435;
06/05/2019 14:24:57;   9,300;
06/05/2019 14:25:58;   9,455;
06/05/2019 14:27:58;   9,276;
06/05/2019 14:33:58;  39,320;
06/05/2019 14:34:57;  38,505;
06/05/2019 14:35:57;  38,194;
06/05/2019 14:36:57;  37,273;
06/05/2019 14:37:57;  37,074;
06/05/2019 14:42:57;  38,338;
06/05/2019 14:47:59;  62,681;
06/05/2019 14:50:57;  65,745;
06/05/2019 14:51:58;  65,642;
06/05/2019 14:52:58;  65,078;
06/05/2019 14:53:58;  64,539;
06/05/2019 14:55:57;  65,113;
06/05/2019 14:56:57;  65,861;
06/05/2019 14:57:57;  67,496;
06/05/2019 14:58:58;  69,210;
06/05/2019 14:59:56;  70,862;
06/05/2019 15:00:58;  72,825;
06/05/2019 15:01:57;  73,814;
06/05/2019 15:02:57;  74,348;
06/05/2019 15:03:57;  74,794;
06/05/2019 15:04:59;  75,099;
